booking_id,booking_code,customer_id,campaign_id,plan_name,product_type,destination_country,destination_region,destination_city,destination_type,season,departure_date,return_date,duration_days,pax,pax_adult,pax_child,total_revenue_jpy,price_per_person_jpy,booking_date,lead_time_days,booking_status,loaded_at
031c43b7-e977-4da8-82ee-dbbb01d8efe4,BK-2022-000000,43bdc25b-5236-4235-a50a-cbd02ef85a51,,長野6泊7日グループプラン (春),freeplan,Japan,長野,長野,domestic,spring,2022-03-13,2022-03-14,2,4,4,0,199216,49804,2022-02-13,28,completed,2026-04-30 07:43:36.149576+00:00
c8aad1de-4985-49d7-a6f6-c608ff8d60c5,BK-2026-000001,71aeef77-5915-45d8-a130-4e69748fff71,,沖縄4泊5日ひとり旅プラン (冬),fit,Japan,沖縄,那覇,domestic,winter,2026-01-21,2026-01-23,3,1,1,0,323294,323294,2025-11-25,57,completed,2026-04-30 07:43:36.150820+00:00
2cd2ea08-f1e6-4c04-8a56-232cf2c8a65d,BK-2023-000002,b82701bf-4bf6-4628-aa4e-3324b3da7863,,東京6泊7日ファミリープラン (夏),fit,Japan,東京,東京,domestic,summer,2023-06-19,2023-06-20,2,2,2,0,938180,469090,2023-05-05,45,cancelled,2026-04-30 07:43:36.151515+00:00
928f91e5-d046-46c0-862b-166a9bb4f9c6,BK-2025-000003,84fef0f1-e10f-4207-bffd-8d190b025639,,東京3泊4日グループプラン (冬),domestic_package,Japan,東京,東京,domestic,winter,2025-12-26,2025-12-28,3,7,7,0,261695,37385,2025-12-07,19,completed,2026-04-30 07:43:36.154246+00:00
e17c5e5e-c989-409d-9e48-1f1b009d80ca,BK-2025-000004,2acd7832-0a89-421f-b595-e12116f2f1b6,,北海道6泊7日ファミリープラン (秋),freeplan,Japan,北海道,札幌,domestic,autumn,2025-11-09,2025-11-14,6,8,3,5,548120,68515,2025-10-18,22,completed,2026-04-30 07:43:36.155149+00:00
4e2658e2-d1a8-49dd-8753-cbc32ed56ab4,BK-2024-000005,151f393e-5a18-4dab-a023-b1f688726a57,,その他4泊5日学生プラン (冬),freeplan,Japan,その他,その他,domestic,winter,2024-02-26,2024-02-27,2,3,3,0,185148,61716,2024-01-03,54,completed,2026-04-30 07:43:36.156184+00:00
075655c6-667f-422d-ba0c-5efc245c81c7,BK-2024-000006,2aa9d9d9-f180-44f5-b855-1c9c401425ed,,大阪6泊7日カップルプラン (秋),freeplan,Japan,大阪,大阪,domestic,autumn,2024-11-05,2024-11-05,1,3,3,0,137694,45898,2024-06-16,142,completed,2026-04-30 07:43:36.172937+00:00
bc659f55-2f88-4b14-9f85-85ad4361a2c4,BK-2024-000007,545b4899-f166-4602-898b-cbdb3bb3ffda,,韓国周遊4泊5日カップル向け (春),cruise,South Korea,韓国,Seoul,outbound,spring,2024-03-03,2024-03-10,8,1,1,0,506091,506091,2024-01-11,52,completed,2026-04-30 07:43:36.173456+00:00
18321d52-c573-4d2d-955a-518710f0dc77,BK-2023-000008,60f81d52-1ed4-466e-8d9d-dcb26a75ace2,,京都3泊4日シニアプラン (秋),domestic_package,Japan,京都,京都,domestic,autumn,2023-10-10,2023-10-14,5,2,2,0,334926,167463,2023-09-10,30,completed,2026-04-30 07:43:36.176721+00:00
084f9f03-65a6-42f5-a3d6-96410af0249f,BK-2026-000009,89057e5b-810b-42f7-996a-450dd9a7e454,,オーストラリア周遊3泊4日ファミリー向け (冬),outbound_package,Australia,オーストラリア,Sydney,outbound,winter,2026-02-02,2026-02-07,6,7,2,5,1730505,247215,2025-12-11,53,completed,2026-04-30 07:43:36.178783+00:00
a4d2375a-1300-4965-9c2b-c8a56617bd02,BK-2025-000010,b6170fee-d7f5-4874-a09a-4270cb9a8016,,シンガポール周遊2泊3日グループ向け (秋),fit,Singapore,シンガポール,Singapore,outbound,autumn,2025-09-05,2025-09-08,4,8,8,0,1872944,234118,2025-08-07,29,completed,2026-04-30 07:43:36.180420+00:00
6e55393a-42e3-430b-a39e-ba3146422ba7,BK-2023-000011,df85b1ea-0d29-4097-b309-9b5e262e557e,,ベトナム周遊3泊4日グループ向け (夏休み),outbound_package,Vietnam,ベトナム,Hanoi,outbound,obon,2023-08-15,2023-08-21,7,5,5,0,477395,95479,2023-07-18,28,completed,2026-04-30 07:43:36.184249+00:00
863b464c-b074-4180-9159-141090195469,BK-2023-000012,c3361ab9-623d-40ff-a404-5a49073c9e28,,イタリア周遊3泊4日シニア向け (夏),outbound_package,Italy,イタリア,Rome,outbound,summer,2023-08-22,2023-08-24,3,1,1,0,278354,278354,2023-07-12,41,completed,2026-04-30 07:43:36.186423+00:00
47880181-8e34-4f17-bcd3-74c0b8bfb763,BK-2025-000013,3af6ebfb-e588-4bec-bd62-20a92d8e1992,,韓国周遊3泊4日ファミリー向け (春),cruise,South Korea,韓国,Seoul,outbound,spring,2025-03-02,2025-03-08,7,7,6,1,3805963,543709,2024-06-25,250,completed,2026-04-30 07:43:36.188459+00:00
ad670fda-3931-40c3-aeb7-204acaff53b9,BK-2023-000014,04f45eb0-377c-4631-ab57-c55549216d6f,,イタリア周遊3泊4日ファミリー向け (春),outbound_package,Italy,イタリア,Rome,outbound,spring,2023-04-16,2023-04-21,6,2,1,1,211834,105917,2023-03-27,20,completed,2026-04-30 07:43:36.190676+00:00
4d45a2a8-877f-45a5-920e-f1f8b82fd504,BK-2024-000015,739772dc-2628-4893-a942-bfe4cd2e60fa,,その他周遊3泊4日ファミリー向け (秋),fit,Japan,その他,その他,outbound,autumn,2024-10-26,2024-10-29,4,5,1,4,397870,79574,2024-09-16,40,completed,2026-04-30 07:43:36.191728+00:00
8185baaa-b681-4b60-8480-900a634db0d5,BK-2023-000016,8c88427e-8e97-4115-9c62-26ecac480e91,,愛知3泊4日学生プラン (GW),domestic_package,Japan,愛知,名古屋,domestic,gw,2023-05-03,2023-05-03,1,3,3,0,140100,46700,2023-04-03,30,completed,2026-04-30 07:43:36.206312+00:00
c65058b9-89b3-4bd6-824c-a341db8397a1,BK-2023-000017,bc441772-77dd-430c-8ebc-a35f5f46d9bd,,台湾周遊6泊7日ひとり旅向け (冬),fit,Taiwan,台湾,Taipei,outbound,winter,2023-12-25,2023-12-26,2,2,2,0,576424,288212,2023-11-13,42,completed,2026-04-30 07:43:36.207445+00:00
1f2988a7-a5e0-4308-b3db-786594291ead,BK-2023-000018,740f23e1-9d54-4a09-808d-71807ec42bcd,,タイ周遊4泊5日カップル向け (春),fit,Thailand,タイ,Bangkok,outbound,spring,2023-05-08,2023-05-13,6,3,3,0,338121,112707,2023-02-05,92,cancelled,2026-04-30 07:43:36.208490+00:00
14294bb3-d910-4733-8bbf-e211c3e4f06a,BK-2024-000019,a590932d-b27d-4863-8caa-09c6b475a1a9,,宮城6泊7日グループプラン (春),fit,Japan,宮城,仙台,domestic,spring,2024-03-11,2024-03-20,10,13,13,0,1383330,106410,2024-02-23,17,completed,2026-04-30 07:43:36.209550+00:00
7467386b-247c-4a15-9e0a-a234d9510fb3,BK-2024-000020,3eb56d34-e0ab-4b80-b720-0ab653906cd3,,台湾周遊4泊5日ファミリー向け (春),fit,Taiwan,台湾,Taipei,outbound,spring,2024-05-20,2024-05-26,7,5,3,2,902615,180523,2024-04-29,21,cancelled,2026-04-30 07:43:36.210878+00:00
22643994-4de1-4ff1-869c-9938d3b4176c,BK-2024-000021,8277fe97-9ec1-466f-9a88-212c2d25d4ff,,その他周遊2泊3日カップル向け (年末年始),cruise,Japan,その他,その他,outbound,new_year,2024-12-29,2025-01-06,9,1,1,0,178958,178958,2024-08-29,122,confirmed,2026-04-30 07:43:36.213329+00:00
3859e83d-b5fc-45ad-aa34-3b2c9e9f5c31,BK-2024-000022,bf4f2ebf-5014-4e6b-bf6f-cee4d75714be,,ハワイ周遊5泊6日シニア向け (春),cruise,USA,ハワイ,Honolulu,outbound,spring,2024-04-23,2024-04-26,4,2,2,0,1843714,921857,2024-04-12,11,completed,2026-04-30 07:43:36.228281+00:00
755c1ce9-f9ee-40c5-bf7d-35a13c20d3db,BK-2025-000023,bfb3cf59-cfdd-43dd-9e47-56017a1e2f48,,訪日東京体験6泊7日 (夏休み),fit,Japan,東京,東京,inbound,obon,2025-08-10,2025-08-14,5,9,9,0,2198214,244246,2025-07-24,17,completed,2026-04-30 07:43:36.231329+00:00
401e5bec-94ec-4825-acf3-2face0d9251c,BK-2022-000024,07ce02b6-0bb0-451a-b47c-6ef95b8d4db2,,静岡3泊4日シニアプラン (夏),freeplan,Japan,静岡,静岡,domestic,summer,2022-08-18,2022-08-22,5,1,1,0,65143,65143,2022-06-17,62,confirmed,2026-04-30 07:43:36.232238+00:00
5d560b29-4fbc-4b7b-93de-e4bc63a6c23c,BK-2023-000025,3cf13cf4-8bfe-4e5e-b302-391aafa83668,,韓国周遊4泊5日ファミリー向け (冬),fit,South Korea,韓国,Seoul,outbound,winter,2023-12-15,2023-12-17,3,4,3,1,1068040,267010,2023-11-27,18,completed,2026-04-30 07:43:36.233115+00:00
936c98d0-f2f2-4f43-9782-41baa71252d5,BK-2025-000026,b829ffeb-ab99-465f-a615-935d2532eeb9,,ハワイ周遊6泊7日ファミリー向け (秋),outbound_package,USA,ハワイ,Honolulu,outbound,autumn,2025-09-10,2025-09-14,5,2,1,1,466020,233010,2025-08-06,35,completed,2026-04-30 07:43:36.236160+00:00
89c713d2-f571-4635-9b6f-a969daf1b672,BK-2022-000027,260a597e-8a26-4de9-9a6e-50758d8bd62a,,オーストラリア周遊2泊3日ビジネス向け (春),fit,Australia,オーストラリア,Sydney,outbound,spring,2022-05-27,2022-05-29,3,1,1,0,423181,423181,2022-05-12,15,completed,2026-04-30 07:43:36.238747+00:00
63c55b4c-b91b-4635-b8c2-3726f7ee3104,BK-2025-000028,049d6637-92d5-4f55-858f-5acaaa3e616c,,北海道5泊6日ひとり旅プラン (春),domestic_package,Japan,北海道,札幌,domestic,spring,2025-05-31,2025-06-05,6,1,1,0,45573,45573,2025-05-07,24,completed,2026-04-30 07:43:36.244610+00:00
4b09d671-3cdc-475f-a3a1-912c5c705131,BK-2022-000029,4a824b66-5802-4185-904a-29ac4209933d,,北海道5泊6日ファミリープラン (年末年始),domestic_package,Japan,北海道,札幌,domestic,new_year,2022-01-02,2022-01-07,6,4,4,0,505736,126434,2022-01-01,54,completed,2026-04-30 07:43:36.246958+00:00
1d03c00c-c536-4b53-b1df-55ed29202fa0,BK-2024-000030,3e0c2f4b-2bde-4f6b-8fb2-5e40354fa20f,,アメリカ西海岸周遊5泊6日グループ向け (冬),outbound_package,USA,アメリカ西海岸,Los Angeles,outbound,winter,2024-01-12,2024-01-16,5,8,8,0,1221624,152703,2023-11-19,54,completed,2026-04-30 07:43:36.248558+00:00
37ec4107-c677-4626-94bf-851cb2c3fabc,BK-2025-000031,15cc2342-895e-4b73-8220-3d42faed2018,,京都4泊5日カップルプラン (夏休み),freeplan,Japan,京都,京都,domestic,obon,2025-08-14,2025-08-18,5,4,4,0,210692,52673,2025-07-08,37,completed,2026-04-30 07:43:36.249404+00:00
60b82a5e-9cf7-4485-b911-19b8f393f32f,BK-2023-000032,275089e9-21bd-46b1-b2c1-b74252c0684b,,大阪2泊3日ファミリープラン (GW),fit,Japan,大阪,大阪,domestic,gw,2023-05-01,2023-05-02,2,3,1,2,565323,188441,2023-02-26,64,cancelled,2026-04-30 07:43:36.250598+00:00
de6cd61a-1095-4098-85d6-766c6bf74d39,BK-2023-000033,9d5bdb44-1fcc-4c5a-9105-95556698ba0d,,鹿児島3泊4日ひとり旅プラン (冬),domestic_package,Japan,鹿児島,鹿児島,domestic,winter,2023-01-22,2023-01-23,2,1,1,0,40241,40241,2022-11-19,64,completed,2026-04-30 07:43:36.251393+00:00
766f17a0-ad90-4bec-ab62-e18479e71464,BK-2023-000034,0c87e6c6-1e14-45e1-803b-b04fe3bba3da,,長野5泊6日カップルプラン (夏),domestic_package,Japan,長野,長野,domestic,summer,2023-08-22,2023-08-22,1,5,5,0,866260,173252,2023-07-18,35,completed,2026-04-30 07:43:36.252906+00:00
950cd66e-4848-42a3-ace5-892da562ec48,BK-2024-000035,4291fab8-c492-465a-9f58-c57be0e43074,,北海道4泊5日カップルプラン (冬),fit,Japan,北海道,札幌,domestic,winter,2024-01-04,2024-01-07,4,3,3,0,550785,183595,2023-12-11,24,completed,2026-04-30 07:43:36.254440+00:00
24555a28-741d-4839-ab7e-7acc05a43ca1,BK-2024-000036,fba370fa-25b0-4858-bfeb-31588ec4b387,,アメリカ西海岸周遊5泊6日ファミリー向け (秋),cruise,USA,アメリカ西海岸,Los Angeles,outbound,autumn,2024-11-20,2024-11-26,7,2,2,0,744174,372087,2024-11-03,17,completed,2026-04-30 07:43:36.257192+00:00
72509ee2-e808-4de3-b331-7642441f87ab,BK-2024-000037,e2abc8d0-6273-4596-bcb1-ade61c7ab003,,ハワイ周遊5泊6日ひとり旅向け (GW),fit,USA,ハワイ,Honolulu,outbound,gw,2024-05-03,2024-05-07,5,2,2,0,645054,322527,2023-12-25,130,completed,2026-04-30 07:43:36.258402+00:00
2eac56ab-5574-405a-a46f-e54fa953f5fb,BK-2025-000038,50db03fc-f6ee-47f9-a047-b3412545d74f,,韓国周遊3泊4日ファミリー向け (夏休み),outbound_package,South Korea,韓国,Seoul,outbound,obon,2025-08-12,2025-08-14,3,3,3,0,1648830,549610,2025-07-30,13,completed,2026-04-30 07:43:36.260858+00:00
9c69decf-7bb9-4f7d-b31e-6907fa17d655,BK-2025-000039,431c7e14-bcaa-426c-9432-dcc9bc5923e1,,愛知5泊6日カップルプラン (秋),domestic_package,Japan,愛知,名古屋,domestic,autumn,2025-10-01,2025-10-03,3,4,4,0,982388,245597,2025-09-12,19,cancelled,2026-04-30 07:43:36.263126+00:00
4bb450e2-842e-40c0-b210-7536889cfb9b,BK-2025-000040,0bee772a-2a01-4109-9cba-e8408bef665d,,タイ周遊5泊6日カップル向け (夏休み),fit,Thailand,タイ,Bangkok,outbound,obon,2025-08-17,2025-08-21,5,2,2,0,1131812,565906,2025-07-06,42,completed,2026-04-30 07:43:36.263653+00:00
81759f2e-e78b-4396-b775-49a2eed8590d,BK-2025-000041,de7e79a3-ec31-4245-b63d-3d85e75e7513,,静岡4泊5日ひとり旅プラン (夏),domestic_package,Japan,静岡,静岡,domestic,summer,2025-07-17,2025-07-17,1,1,1,0,44272,44272,2025-06-24,23,completed,2026-04-30 07:43:36.266658+00:00
f3b7c693-e92e-4f00-adf7-2619a216d6e3,BK-2025-000042,5a4573d6-7b66-4a6a-b6f4-7a7c5ad9da56,,東京5泊6日ファミリープラン (夏),freeplan,Japan,東京,東京,domestic,summer,2025-06-10,2025-06-12,3,10,8,2,1202200,120220,2025-05-14,27,completed,2026-04-30 07:43:36.267792+00:00
f55965d7-5741-48aa-88e6-08f3bca40175,BK-2023-000043,c7ebc6cd-2ec1-4e7a-a5bf-859ea4bf9725,,タイ周遊4泊5日ひとり旅向け (年末年始),outbound_package,Thailand,タイ,Bangkok,outbound,new_year,2023-12-29,2024-01-04,7,1,1,0,282588,282588,2023-12-05,24,completed,2026-04-30 07:43:36.268731+00:00
077ece2c-ca86-4c71-aa55-48e66aabaf1e,BK-2025-000044,2d677b3e-6959-4608-86cf-5a19345ad82d,,京都6泊7日ひとり旅プラン (夏),domestic_package,Japan,京都,京都,domestic,summer,2025-07-29,2025-07-29,1,1,1,0,89978,89978,2025-07-12,17,completed,2026-04-30 07:43:36.270129+00:00
4d902056-306f-45f1-8f93-c0356d87d443,BK-2023-000045,cccaad9e-1a6a-4f2c-8814-31aff2d1d4b7,,沖縄3泊4日カップルプラン (GW),freeplan,Japan,沖縄,那覇,domestic,gw,2023-05-05,2023-05-08,4,1,1,0,125198,125198,2023-04-09,26,completed,2026-04-30 07:43:36.271765+00:00
755b15fa-a3f3-44e8-aa4f-6922994eceda,BK-2025-000046,f4a2f335-fe27-4ea8-9ac6-c286e372c631,,鹿児島4泊5日ビジネスプラン (秋),fit,Japan,鹿児島,鹿児島,domestic,autumn,2025-10-09,2025-10-12,4,1,1,0,147817,147817,2025-08-23,47,completed,2026-04-30 07:43:36.272606+00:00
356dd8a3-2ece-4d0f-a031-407c5df05413,BK-2025-000047,8965b36d-93c5-4434-94df-6f21276b817c,,アメリカ西海岸周遊3泊4日学生向け (夏),fit,USA,アメリカ西海岸,Los Angeles,outbound,summer,2025-08-20,2025-08-24,5,1,1,0,135840,135840,2025-06-14,67,completed,2026-04-30 07:43:36.273238+00:00
e418acc2-e8aa-4dee-8b5c-ab3f6d25f7bd,BK-2025-000048,e92bb10e-389a-4f90-a71b-6416825d39e4,,沖縄2泊3日ファミリープラン (春),freeplan,Japan,沖縄,那覇,domestic,spring,2025-03-23,2025-03-26,4,4,1,3,179540,44885,2025-02-07,44,completed,2026-04-30 07:43:36.274653+00:00
26fab27d-5b03-49fc-80cd-7ef25eba0018,BK-2025-000049,ace1191f-dc33-43d2-8d36-26fc37025a99,,大阪6泊7日シニアプラン (春),domestic_package,Japan,大阪,大阪,domestic,spring,2025-05-22,2025-05-24,3,1,1,0,119251,119251,2025-03-23,60,cancelled,2026-04-30 07:43:36.276311+00:00
