hotel_id,hotel_code,name,country,region,city,category,star_rating,room_count,avg_price_per_night_jpy,latitude,longitude,loaded_at
c8e835b7-d67f-4a62-b179-93a01a362935,HOT-00000,韓国 ビーチリゾート,South Korea,韓国,Seoul,resort,4,390,29224,7.393273763807798,175.18634887076286,2026-04-30 07:32:56.990917+00:00
9e2bccfe-e4ad-491a-a895-f4169c8421a3,HOT-00001,静岡 シティホテル,Japan,静岡,静岡,midscale,3,184,15004,41.3314427140552,131.8040127439459,2026-04-30 07:32:56.991045+00:00
a1d98596-a31c-4353-b73b-00f10682a90d,HOT-00002,アメリカ西海岸 ビーチリゾート,USA,アメリカ西海岸,Los Angeles,resort,4,466,37362,-6.31434561667313,38.29062247759265,2026-04-30 07:32:56.991122+00:00
5d7b7e40-aef6-4b59-b5cd-449bafff2c99,HOT-00003,中国 温泉旅館,China,中国,Shanghai,ryokan,4,147,26821,31.19178105885787,22.868365309033436,2026-04-30 07:32:56.991188+00:00
cf290741-9c2b-4cae-b329-1371e1dc0765,HOT-00004,長野 リゾート＆スパ,Japan,長野,長野,luxury,5,521,65761,24.67964241479271,132.1180334133907,2026-04-30 07:32:56.991249+00:00
3ae6af4b-3883-4ca4-bbad-22c673c83e95,HOT-00005,オーストラリア ザ・リッツ,Australia,オーストラリア,Sydney,luxury,5,522,45847,34.60679789593651,138.85386150901064,2026-04-30 07:32:56.991313+00:00
369f8101-21ec-43ec-9f16-85fab14bd4ea,HOT-00006,石川 ビジネスホテル,Japan,石川,金沢,budget,2,162,7441,29.076418715878773,123.62518907044445,2026-04-30 07:32:56.991370+00:00
367f9237-fd6c-4a84-b1af-930e6647c9fe,HOT-00007,ベトナム 温泉旅館,Vietnam,ベトナム,Hanoi,ryokan,4,451,28593,13.161291869543938,-8.591824407452265,2026-04-30 07:32:56.991721+00:00
b57c2a81-1473-44f0-bd29-71a9fe49fd85,HOT-00008,_unit インバウンドイン,Japan,_unit,_unit,budget,2,535,9229,41.858552166823834,131.03996306339678,2026-04-30 07:32:56.991847+00:00
fd65f645-5bd4-4f6c-a08b-b3f0eb1e81ae,HOT-00009,北海道 パレスホテル,Japan,北海道,札幌,luxury,5,543,50885,44.28174514298241,130.6397500971794,2026-04-30 07:32:56.991962+00:00
157dbefa-4173-445a-ad1c-893bef1bc4a5,HOT-00010,大阪 プリンスホテル,Japan,大阪,大阪,upscale,4,89,34712,25.5686997520666,145.7659305917121,2026-04-30 07:32:56.992051+00:00
535bc88b-6072-4c71-b211-ffb1924e1098,HOT-00011,_unit リゾート＆スパ,Japan,_unit,_unit,luxury,5,356,51535,41.037178500525314,137.51097617877107,2026-04-30 07:32:56.992106+00:00
507a4dc7-1bb7-47c5-802d-b51446cac93f,HOT-00012,タイ ビジネスホテル,Thailand,タイ,Bangkok,budget,2,433,7742,4.739275179210949,-55.41702375429551,2026-04-30 07:32:56.992158+00:00
3ed7c9c1-892b-4e90-889e-3ed5582b4cc9,HOT-00013,沖縄 プラザホテル,Japan,沖縄,那覇,upscale,4,171,26311,27.377694019415046,128.66610156101422,2026-04-30 07:32:56.992210+00:00
ceeb8eb0-05b1-4a6d-be9e-6dbcb007acf4,HOT-00014,ロンドン グランドホテル,UK,ロンドン,London,upscale,4,516,33020,-32.22553330749579,95.40878586409548,2026-04-30 07:32:56.992262+00:00
11225ed8-6885-4ff4-ab40-17db32fbf181,HOT-00015,愛知 グランドホテル,Japan,愛知,名古屋,upscale,4,547,26514,30.490422591672697,136.08317752383934,2026-04-30 07:32:56.992750+00:00
f84d756c-7b80-40e3-9d35-a5572ed1699d,HOT-00016,東京 インバウンドイン,Japan,東京,東京,budget,2,373,10051,37.71802013214041,126.10683522100305,2026-04-30 07:32:56.992805+00:00
9228c744-d038-4eec-a158-42aff284f572,HOT-00017,パリ 別邸,France,パリ,Paris,ryokan,4,62,25353,4.683884241415264,-32.74735246353731,2026-04-30 07:32:56.992859+00:00
7f667897-6fd7-43c4-8f78-7e460258f5f5,HOT-00018,青森 プラザホテル,Japan,青森,青森,upscale,4,450,25870,29.21536569366259,142.08424793287296,2026-04-30 07:32:56.992914+00:00
a15b953d-96b9-4d84-b46b-c1fd5cb09609,HOT-00019,_unit 別邸,Japan,_unit,_unit,ryokan,4,309,22559,37.633826566352084,144.34332398781396,2026-04-30 07:32:56.992966+00:00
342e9b42-ed4c-4ec8-8354-396ddc33b55f,HOT-00020,青森 ビジネスホテル,Japan,青森,青森,budget,2,447,6654,25.580707380697156,134.86081108600536,2026-04-30 07:32:56.993018+00:00
5efbbf33-0ef0-461b-a68a-1349044daa5d,HOT-00021,石川 オーシャンリゾート,Japan,石川,金沢,resort,4,291,38610,45.168399747763445,133.36325866282027,2026-04-30 07:32:56.993068+00:00
c8fadcd6-c2db-40a9-80d3-ed9919818072,HOT-00022,福岡 グランドホテル,Japan,福岡,福岡,upscale,4,20,22537,33.5028045420106,140.6925793698591,2026-04-30 07:32:56.993118+00:00
00563046-2262-42df-9b12-6ddb35716ebc,HOT-00023,ロンドン リゾート＆スパ,UK,ロンドン,London,luxury,5,109,57054,54.10762847646973,-119.74860012809546,2026-04-30 07:32:56.993167+00:00
8c6cbc41-4323-4705-8e45-5b45aa087345,HOT-00024,韓国 プリンスホテル,South Korea,韓国,Seoul,upscale,4,259,28630,35.96430523063947,-96.95551488197118,2026-04-30 07:32:56.993217+00:00
16dc3d44-1d06-4982-b689-4ff88cb320b6,HOT-00025,中国 インバウンドイン,China,中国,Shanghai,budget,2,512,8047,59.88286109548049,-99.37956038617503,2026-04-30 07:32:56.993271+00:00
4109dbb6-d260-473b-ac96-93c0a2bf8f55,HOT-00026,東京 グランドホテル,Japan,東京,東京,upscale,4,357,30765,45.85749550920855,145.77639600313336,2026-04-30 07:32:56.993321+00:00
d26c93d5-a247-4ef0-b3fc-c09e8d07abb2,HOT-00027,東京 インバウンドイン,Japan,東京,東京,budget,2,561,5470,28.484933801249966,135.1564597656764,2026-04-30 07:32:56.993371+00:00
6879954d-a83d-4a52-a335-396407bfc984,HOT-00028,台湾 プリンスホテル,Taiwan,台湾,Taipei,upscale,4,591,33872,58.504669672087104,146.19845187546537,2026-04-30 07:32:56.993419+00:00
c1a96e94-e1b5-4c12-bbc3-81bac1d4116d,HOT-00029,中国 グランドホテル,China,中国,Shanghai,upscale,4,337,24972,16.077737456201213,1.981014968544116,2026-04-30 07:32:56.993468+00:00
a48f8d4b-1b6b-4492-b8ff-33cfc869e273,HOT-00030,ベトナム ホテル,Vietnam,ベトナム,Hanoi,midscale,3,213,18326,-6.932300305364748,-134.19865371894193,2026-04-30 07:32:56.993516+00:00
db11fef4-778f-4d74-9dcb-27abd1433843,HOT-00031,石川 ビーチリゾート,Japan,石川,金沢,resort,4,152,28120,40.70550420049253,135.74156589378777,2026-04-30 07:32:56.993564+00:00
d3eaf406-4fa8-4d84-93a1-ae780b1092b4,HOT-00032,青森 プリンスホテル,Japan,青森,青森,upscale,4,400,27113,30.050682893865563,124.4937759218287,2026-04-30 07:32:56.993612+00:00
e038b531-a952-4a59-80a8-0295e6e6fb76,HOT-00033,宮城 インバウンドイン,Japan,宮城,仙台,budget,2,512,7797,27.418736623660063,136.9510257094949,2026-04-30 07:32:56.993659+00:00
df9ebf00-a222-44e5-b818-5c494303baf1,HOT-00034,鹿児島 シティホテル,Japan,鹿児島,鹿児島,midscale,3,485,18178,43.64715466457156,123.25338334983725,2026-04-30 07:32:56.993709+00:00
4031c79b-ac7c-4322-a506-10cc8f60e698,HOT-00035,静岡 オーシャンリゾート,Japan,静岡,静岡,resort,4,107,33053,28.461389957401494,138.17968361745363,2026-04-30 07:32:56.993757+00:00
c8a15ac5-2eef-4bd8-8326-88f3a0c5a872,HOT-00036,韓国 ビジネスホテル,South Korea,韓国,Seoul,budget,2,306,6722,-9.972808785747333,-8.19615240871326,2026-04-30 07:32:56.993805+00:00
eae3b19d-9eca-45a1-89bf-43df4d4c95b0,HOT-00037,広島 プリンスホテル,Japan,広島,広島,upscale,4,224,33261,39.65100564961433,123.42406946612945,2026-04-30 07:32:56.993853+00:00
c16fe2e7-1826-4886-8c3e-a894c0dc88ea,HOT-00038,石川 ビジネスホテル,Japan,石川,金沢,budget,2,470,6723,41.83143374451555,139.36923388114593,2026-04-30 07:32:56.993901+00:00
b3d46f25-11ee-45ab-9687-14eccb069484,HOT-00039,三重 ホテル,Japan,三重,伊勢,midscale,3,162,12441,24.936139988229083,128.14257738014908,2026-04-30 07:32:56.993948+00:00
70a61572-a076-4638-8a0b-0ae5ed30840d,HOT-00040,北海道 シティホテル,Japan,北海道,札幌,midscale,3,498,13987,44.36510671220794,127.63101133821245,2026-04-30 07:32:56.993997+00:00
bd87957c-3aa9-4156-b26d-78a83280df69,HOT-00041,アメリカ西海岸 ザ・リッツ,USA,アメリカ西海岸,Los Angeles,luxury,5,572,65571,-38.79481369840748,94.68694683962929,2026-04-30 07:32:56.994045+00:00
83f12d6a-3f44-4e9d-972c-2feca00cd61b,HOT-00042,韓国 ビーチリゾート,South Korea,韓国,Seoul,resort,4,339,30902,-32.18438601146117,125.92411120981302,2026-04-30 07:32:56.994091+00:00
6bc73400-51d6-49d3-a0fe-d0be5a0c8e8a,HOT-00043,中国 ビジネスホテル,China,中国,Shanghai,budget,2,351,7260,-24.642022091388547,86.31720956381412,2026-04-30 07:32:56.994138+00:00
4a315a05-83da-4cfa-a830-35e3d2ea7075,HOT-00044,広島 別邸,Japan,広島,広島,ryokan,4,294,19929,35.216268053255085,130.1809282772078,2026-04-30 07:32:56.994186+00:00
8cf0a48f-7d2f-4b0b-8462-0d623fdf9d9a,HOT-00045,ハワイ 別邸,USA,ハワイ,Honolulu,ryokan,4,121,31638,-18.042040779790867,-12.987977000381989,2026-04-30 07:32:56.994407+00:00
ad08493e-0bc8-4e2a-82f7-fd316893f819,HOT-00046,アメリカ西海岸 別邸,USA,アメリカ西海岸,Los Angeles,ryokan,4,518,22329,-2.1799476990318922,126.6199857909067,2026-04-30 07:32:56.994514+00:00
6e408ad6-60a4-4b71-a00d-c0720f86ce1b,HOT-00047,静岡 インバウンドイン,Japan,静岡,静岡,budget,2,169,6470,39.24438499288881,145.70819025901432,2026-04-30 07:32:56.994619+00:00
4787ff2d-0aef-4fff-b05a-65933a15f455,HOT-00048,長野 リゾート＆スパ,Japan,長野,長野,luxury,5,217,53230,25.567378502065004,133.93202921132288,2026-04-30 07:32:56.994760+00:00
5d5a03a7-069c-4386-b8bd-d3a1ecc9b79b,HOT-00049,韓国 プリンスホテル,South Korea,韓国,Seoul,upscale,4,510,22006,12.007191226148805,123.38350877032997,2026-04-30 07:32:56.994810+00:00
